add-c,8,40,640,306542,478,0
add-yield-c,8,40,640,515990,806,0
add-c,8,80,1280,294699,230,0
add-yield-c,8,80,1280,830366,648,0
add-c,8,100,1600,256274,160,0
add-yield-c,8,100,1600,1039728,649,0
add-c,8,1000,16000,1369858,85,0
add-yield-c,8,1000,16000,8790291,549,0
add-c,8,10000,160000,15252658,95,0
add-yield-c,8,10000,160000,83401305,521,0
add-c,12,10,240,578196,2409,0
add-yield-c,12,10,240,1662014,6925,0
add-c,12,20,480,549919,1145,0
add-yield-c,12,20,480,497169,1035,0
add-c,12,40,960,602676,627,0
add-yield-c,12,40,960,656489,683,0
add-c,12,80,1920,453407,236,0
add-yield-c,12,80,1920,1341830,698,0
add-c,12,100,2400,409309,170,0
add-yield-c,12,100,2400,1480063,616,0
add-c,12,1000,24000,2249741,93,0
add-yield-c,12,1000,24000,15450451,643,0
add-c,12,10000,240000,23586698,98,0
add-yield-c,12,10000,240000,134034376,558,0
add-s,1,10,20,149768,7488,0
add-yield-s,1,10,20,114281,5714,0
add-s,1,20,40,96311,2407,0
add-yield-s,1,20,40,82289,2057,0
add-s,1,40,80,175676,2195,0
add-yield-s,1,40,80,180232,2252,0
add-s,1,80,160,137791,861,0
add-yield-s,1,80,160,231364,1446,0
add-s,1,100,200,105609,528,0
add-yield-s,1,100,200,256811,1284,0
add-s,1,1000,2000,129230,64,0
add-yield-s,1,1000,2000,1313191,656,0
add-s,1,10000,20000,405695,20,0
add-yield-s,1,10000,20000,11959761,597,0
add-s,2,10,40,156065,3901,0
add-yield-s,2,10,40,138674,3466,0
add-s,2,20,80,144750,1809,0
add-yield-s,2,20,80,151301,1891,0
add-s,2,40,160,107230,670,0
add-yield-s,2,40,160,304986,1906,0
add-s,2,80,320,182794,571,0
add-yield-s,2,80,320,392080,1225,0
add-s,2,100,400,180098,450,0
add-yield-s,2,100,400,318879,797,0
add-s,2,1000,4000,209351,52,0
add-yield-s,2,1000,4000,2542622,635,0
add-s,2,10000,40000,2331228,58,0
add-yield-s,2,10000,40000,23976707,599,0
add-s,4,10,80,145153,1814,0
add-yield-s,4,10,80,164415,2055,0
add-s,4,20,160,155382,971,0
add-yield-s,4,20,160,228091,1425,0
add-s,4,40,320,170688,533,0
add-yield-s,4,40,320,359324,1122,0
add-s,4,80,640,154066,240,0
add-yield-s,4,80,640,467961,731,0
add-s,4,100,800,166562,208,0
add-yield-s,4,100,800,950334,1187,0
add-s,4,1000,8000,774438,96,0
add-yield-s,4,1000,8000,5751192,718,0
add-s,4,10000,80000,12357518,154,0
add-yield-s,4,10000,80000,53437120,667,0
add-s,8,10,160,321859,2011,0
add-yield-s,8,10,160,418761,2617,0
add-s,8,20,320,357999,1118,0
add-yield-s,8,20,320,407536,1273,0
add-s,8,40,640,333728,521,0
add-yield-s,8,40,640,688223,1075,0
add-s,8,80,1280,337083,263,0
add-yield-s,8,80,1280,1072269,837,0
add-s,8,100,1600,337129,210,0
add-yield-s,8,100,1600,1679577,1049,0
add-s,8,1000,16000,4799000,299,0
add-yield-s,8,1000,16000,16149800,1009,0
add-s,8,10000,160000,43425567,271,0
add-yield-s,8,10000,160000,141675853,885,0
add-s,12,10,240,367340,1530,0
add-yield-s,12,10,240,480263,2001,0
add-s,12,20,480,495973,1033,0
add-yield-s,12,20,480,545857,1137,0
add-s,12,40,960,452617,471,0
add-yield-s,12,40,960,1266097,1318,0
add-s,12,80,1920,415101,216,0
add-yield-s,12,80,1920,2143252,1116,0
add-s,12,100,2400,414265,172,0
add-yield-s,12,100,2400,3625611,1510,0
add-s,12,1000,24000,8656342,360,0
add-yield-s,12,1000,24000,28896940,1204,0
add-s,12,10000,240000,105088573,437,0
add-yield-s,12,10000,240000,250834416,1045,0
